index,zone_index,zone,z_bottom_mm,z_top_mm,height_mm,r_inner_mid_mm,r_outer_mid_mm,tracks,pitch_mm,exact_volume_mm3,deposit_area_mm2,active_time_min,dwell_s,cycle_time_min
21,2,HUB_WIDE,30.205882601001683,31.647059183786897,1.4411765827852143,20.000007180207632,35.0882400391726,4,3.772058214741241,3763.36728179083,5.332835955523272,2.427022518765638,152.67723102585487,5.0
22,2,HUB_WIDE,31.647059183786897,33.08823576657211,1.4411765827852143,20.000007180207632,34.55882831869389,4,3.6397052846215647,3596.426108399705,5.147516303467092,2.427022518765638,152.67723102585487,5.0
23,2,HUB_WIDE,33.08823576657211,34.52941234935732,1.4411765827852108,20.000007180207632,34.029416598215185,4,3.5073523545018883,3432.022891477022,4.962087492578029,2.427022518765638,152.67723102585487,5.0
24,2,HUB_WIDE,34.52941234935732,35.97058893214254,1.4411765827852179,20.000007180207632,33.50000487773647,4,3.37499942438221,3270.1576310228124,4.776546520094489,2.427022518765638,152.67723102585487,5.0
25,2,HUB_WIDE,35.97058893214254,37.41176551492775,1.4411765827852108,20.000007180207632,32.97059315725776,4,3.242646494262532,3110.8303270370216,4.590890314025409,2.427022518765638,152.67723102585487,5.0
26,2,HUB_WIDE,37.41176551492775,38.85294209771297,1.4411765827852179,20.000007180207632,32.441181436779054,4,3.1102935641428555,2954.040984913127,4.405115747549962,2.427022518765638,152.67723102585487,5.0
27,2,HUB_WIDE,38.85294209771297,40.29411868049818,1.4411765827852108,20.000007180207632,31.911769938686614,3,3.970587586159661,2799.789652644138,5.617487428609531,1.8181818181818181,189.20767306088405,5.0
28,2,HUB_WIDE,40.29411868049818,41.73529526328339,1.4411765827852108,20.000007180207632,31.38235844084487,3,3.79411708687908,2648.0762802650047,5.370397609437028,1.8181818181818181,189.20767306088405,5.0
29,2,HUB_WIDE,41.73529526328339,43.17647184606861,1.4411765827852179,20.000007180207632,30.852946943003133,3,3.6176465875985,2498.900862219727,5.123099275464736,1.8181818181818181,189.20767306088405,5.0
30,2,HUB_WIDE,43.17647184606861,44.61764842885382,1.4411765827852108,20.000007180207632,30.323535445161397,3,3.441176088317922,2352.2633985082707,4.87558625404905,1.8181818181818181,189.20767306088405,5.0
